date,hr,open,high,low,close,volume
2020.06.03,8:00,17.847,17.893,17.8,17.889,1896
2020.06.03,9:00,17.888,17.94,17.865,17.865,2613
2020.06.03,10:00,17.866,17.916,17.788,17.822,2164
2020.06.03,11:00,17.821,17.843,17.717,17.8,2948
2020.06.03,12:00,17.8,17.902,17.795,17.884,2402
2020.06.03,13:00,17.883,17.929,17.863,17.863,2237
2020.06.03,14:00,17.865,17.96,17.831,17.96,3090
2020.06.03,15:00,17.959,17.995,17.643,17.689,6794
2020.06.03,16:00,17.689,17.772,17.63,17.692,8580
2020.06.03,17:00,17.69,17.72,17.465,17.54,9400
2020.06.03,18:00,17.54,17.7,17.54,17.677,5302
2020.06.03,19:00,17.677,17.721,17.648,17.675,3882
2020.06.03,20:00,17.669,17.743,17.667,17.712,4013
2020.06.03,21:00,17.719,17.745,17.687,17.719,2790
2020.06.03,22:00,17.719,17.751,17.684,17.684,1991
2020.06.03,23:00,17.684,17.7,17.63,17.645,482
2020.06.04,1:00,17.633,17.654,17.604,17.633,774
2020.06.04,2:00,17.632,17.672,17.617,17.658,784
2020.06.04,3:00,17.659,17.671,17.618,17.645,1430
2020.06.04,4:00,17.644,17.644,17.568,17.582,3792
2020.06.04,5:00,17.582,17.617,17.57,17.603,2130
2020.06.04,6:00,17.604,17.608,17.57,17.588,971
2020.06.04,7:00,17.589,17.6,17.574,17.598,784
2020.06.04,8:00,17.598,17.615,17.53,17.558,1786
2020.06.04,9:00,17.558,17.56,17.47,17.504,3097
2020.06.04,10:00,17.503,17.568,17.477,17.563,2179
2020.06.04,11:00,17.561,17.663,17.559,17.652,1113
2020.06.04,12:00,17.652,17.717,17.652,17.703,1434
2020.06.04,13:00,17.704,17.79,17.692,17.743,1729
2020.06.04,14:00,17.743,17.792,17.712,17.753,3696
2020.06.04,15:00,17.752,17.834,17.64,17.778,7234
2020.06.04,16:00,17.779,17.823,17.58,17.64,7042
2020.06.04,17:00,17.636,17.696,17.554,17.68,5694
2020.06.04,18:00,17.675,17.769,17.66,17.758,2751
